movieName,id
star wars,a13cfb713f7eca7e750b8ad20b946b142aaa5dbf
barton fink,e1c042c57411f230068ededfd7b27e44c0580700
poetic justice,0bc7352d6a0e678c0d8acc57c0c1cc3466fe9ef7
the rocky horror picture show,8928a603a3c6d154ea4547060805a966ce0f4d60
take shelter,7ef394b11230baf81f61e790839fa993c6ea1f72
a nightmare on elm street,ea5d07dd2150a3e4fd5199ab496074839a019ded
the addams family,91293cd81f021de45cffd363ef81dd95d2c122a3
alien,71ce19cf034c830c1e2d8b98682ca1d53ead1067
bad boys,51f52296a99ce50b6ca69aa5939d81a5aea4e042
the big blue,c72161c89a7dc8ea5d62b200689bd2acae6f354d
blade,bfd50b1cf73709308ab4ad727d829c5fca23480c
blade runner,ef722cf82033c8e66197209f06a9cb9754be78d9
descendants,214cb5277750c1ccddec0b10fa545c3c78c45f64
die hard,403479540337f035a011f0ea84b4770e31e18207
the flintstones,1ddea1c3f13183fbe029834b5a3ab505600c5dfa
fright night,ccfabbee5a88f09447f3cbba5ea0f86e5c039058
fright night,dae7e31c643a625b54fd042a8ecad0d9e964494e
the godfather,81db4f3e5fe29c02fd7b7a702aa4847db6a04613
the grudge,dcd3468c3e18822f08ff0607edfb3e9ca06f3ef0
hellraiser,3b2427be8d3bbfe55590d1ce307f778ede5bbcd9
insidious,f6de97a4d111d0663b747eb10e123952424786d0
jaws,4a1fff119d01e5ede3da8b3c13c3925484720533
the mechanic,7d02c2427d7af9d0e8ce6267d38a6613987c2a2a
mission: impossible,cd13eb380843224f66c34047cc06dc445a92f8fd
my girl,407624e45c153cdd848f539d37ca8b5d448f9580
predator,76a96d28a69c3aa9941e9b0496b5e8098ed712ce
rocky,2ba38d31381278d2ae8e90a2a3108debaef877bb
star trek,bde72e62aabedf831fc81b5847152a244fd97bee
ted,677cda46d079c6df650914eda8d9da1dcda8bf8d
transformers,e0c74cdf270ebe29a2139e7319fc7314738c88ee
tremors,a65c4ede45179964de0abc38a88aecd767eaf505
the passion of joan of arc,d053fe3c068b8a68d07d7384056afd16935e608a
grand hotel,d48a25702aca65bfc7755c1dbcb5c196593af1ee
it happened one night,9be329dfb0883011646f7c2b1af909bb154209d7
the wizard of oz,60ea304651d0be17e4d8e51fa1cb896437021d6a
citizen kane,85591366e6f0ab31815c40d55e1d4d5182d20ec5
double indemnity,2e15003e58afe663f66622edbfc3d7d1c7c69a60
the grapes of wrath,a8549480950ac906c9426b7d8cb7963e52e4cd6c
his girl friday,d81debbae25eebaf6ac998a0059eaa08cc7be5bc
all about eve,20696abc25990b16584085154ce317d4018cffe8
the day the earth stood still,a32f354788dd1f1411b9745200cb330d9b556373
from here to eternity,cb456274929bf53ca118acacea7175e9f25c99bd
marty,0434145d9284423a36a714fc55246ed0bdc39a82
rear window,ad63a9aa1afa22bf51451da2e2f45d9543c9ca62
the searchers,33852b452ef4d43a9aa4afbeb543b6a3107e7209
the seventh seal,5806789ebca66b68e86317d0e09b8a433c236280
strangers on a train,7f1cb0e615795ed6be5d96ea3f13ce62921d8835
sunset boulevard,f865713a51422129cd8d15ea2bb1ac324d65afdb
white christmas,b961b2d182f89c9c4259ffd8001df871ead32ef0
2001: a space odyssey,0b9f563bad33316d94f4f339fb151a4b33f25c3f
the birds,c96a12df9414dca862b7f1d5882dadb40e152121
bonnie and clyde,b1b67dc8de94763e66312262449f6cd55956f1f0
the haunting,46381add305c73e6d4625548324615b11dfb25c8
the haunting,91075ab5383e8113d86b17536c6918bfbbd6af20
mary poppins,644cd1e142d9e5fcc019a59b9b0118edf526f723
midnight cowboy,19dd268e42d372d73072c40bc3b8d1c46e07a3a2
peeping tom,f225a22410b95923cccefe1a5eb04075c4184376
psycho,5170566c90131e41863b393cc12d1df9f9c17cc4
american graffiti,5fd696aa16bb2f03de7af3be71ca9047d3a82935
badlands,2d3b9c6a996dbf0372ad1242107bf0e2f4a845d7
chinatown,ffcf7daee9cda766d2fcf1f6399b29be41876b21
dark star,35f4e96cb364cf2204c611a94ca3e42511576ecc
five easy pieces,173b52e21786674aef19e640355e4a6fc869b34e
the french connection,d2e4700544066553a0c434d4861e9b7c4cdfbd7b
get carter,0cb3433c5ac030dba47414e2655c3c49e4f37527
last tango in paris,9cbe9d08ff6673e8dba308ac11ba88d71b425209
mean streets,d226b0c7fb662f93cc3298e3caa21212f59e0a36
the omega man,39b1f44ec2639226b6025140e2a7e7eaf570409e
the sting,823a8b6bbbb0bbeec9c4bec1929b64a3694232d7
walking tall,a1f45ca7bfe2e685b4faa4032039a3a5079065ac
walking tall,d427a41fa7f8c726f4fddd7f8a9ec04aa6146092
all the president's men,83a1fd492021ceb110451d65888072daf64a5d4f
annie hall,f3a5c2b05406798b9244a0a5bb275d76496f5008
apocalypse now,139004cd2411c6909a752ecf897d326ed8bf419c
being there,032bcfd170a98fb5ed752c1d25b678b8589de7d7
breaking away,8b9c0ef55cb49aa239ade1a2e6137a20e7f984ac
dawn of the dead,9ce9cda3bf3ab43a4e0c0199110e30727770477c
dog day afternoon,121c28edd4b0474f2386d9290dcee15b5352e006
kramer vs. kramer,a69fee0515cdb067fec5c42fa88ace5c9639118c
logan's run,c5384ac7f6a3e69a17ede247235936b934a71a03
midnight express,94f1c8eb8ce7f271eb52c6ae9071ae1b56dabfcb
taxi driver,6bec7c2bdd0b01296bc9020288d833709e54cd52
airplane!,6d2e1b95ed2a00e16e046b6f3d0b03e687c7f7f7
amadeus,81d2ece8e55ac0a2799aa87a43117f01bbd7506d
an american werewolf in london,65fdaaca567f74e28159d1c6a7b6cfeec34316ff
bachelor party,f7f0a6294e5fe018d584fe29c7c661fc2bf1f86e
conan the barbarian,d15686cf4482b52351e990ccd991fefda8d2f6dc
dune,21140bb7b7f2e0c9ccadf799b60b577685c42647
e.t. the extra-terrestrial,69add8ffcf964d23243ac02b7282d57beb63c355
the elephant man,567c1a39aff9590875a843a9df35f8c5b880ae27
escape from new york,60a79c800ff1d55aedfba99108890ecc3632c456
fast times at ridgemont high,ffae045d630abf7e4c282849d16819ceff60c2b0
flash gordon,1ae015eaa8cd3b66136578e947afc72ed338fe10
friday the 13th,523a2eb1ae686d7bf0e664c89d0a490a7e1a22bc
gandhi,375d6609a90580a1ce888d45ac697464e6870010
gremlins,c495d58b38155f9d465fc570dd35a74e9551dcaf
the neverending story,935775d945bc210b0928bffb6924e06e1ef9a9dd
ordinary people,a03d6a5ddf48beb93529c87571fad8e02d17b373
raging bull,67ca24897196449395daa9886c7fbaceab55c964
starman,199ec80c97f752cd8e00d2ca6f8e5f48603fefb8
the thing,cbb15e9755f01a017965f239be1cd3b9277f69ed
tron,570c8d99794d019e34b3ead4b4fcf80bb0fac459
the abyss,324138e357569216a5fae897cea8cba4548626c4
beetlejuice,5a284f4743e8864970dde010c6f0ce08fa787090
big,4671c4d7815a9646d0408e119b56b08e74a9f2b8
blue velvet,aecd2050091b2c8f57190bc9a1c0a1d81d6b2f56
brazil,150683ab8156bdc78ebd23a2ed7f7e265b780bd0
